2 : [ 20 385 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7573375262054507
2 : [ 20 510 ]  accuracy : 0.9424920127795527, recall : 0.9424920127795527, precision : 0.9457991813736998, f1 : 0.9145892887170002, roc_auc : 0.7572504708097928
2 : [ 22 252 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.756825938566553
2 : [ 20 299 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7568259385665529
2 : [ 20 519 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7568134171907757
2 : [ 20 25 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7564846416382254
2 : [ 20 23 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7563139931740614
2 : [ 11 385 ]  accuracy : 0.9239766081871345, recall : 0.9239766081871345, precision : 0.8641898864809082, f1 : 0.8930837732629446, roc_auc : 0.7562893081761006
2 : [ 22 29 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7561433447098976
2 : [ 20 439 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7558020477815699
2 : [ 20 247 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7557651991614256
2 : [ 20 227 ]  accuracy : 0.9424920127795527, recall : 0.9424920127795527, precision : 0.9457991813736998, f1 : 0.9145892887170002, roc_auc : 0.7551789077212806
2 : [ 20 29 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7549488054607508
2 : [ 11 519 ]  accuracy : 0.9239766081871345, recall : 0.9239766081871345, precision : 0.8641898864809082, f1 : 0.8930837732629446, roc_auc : 0.7547169811320755
2 : [ 20 165 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7546075085324232
2 : [ 20 430 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7544368600682594
2 : [ 6 133 ]  accuracy : 0.9288025889967637, recall : 0.9288025889967637, precision : 0.9338716603303275, f1 : 0.8945179296713798, roc_auc : 0.753880266075388
2 : [ 10 357 ]  accuracy : 0.9292604501607717, recall : 0.9292604501607717, precision : 0.9342645340722284, f1 : 0.8951875669882102, roc_auc : 0.7538534130229633
2 : [ 14 178 ]  accuracy : 0.9383116883116883, recall : 0.9383116883116883, precision : 0.9421171361106425, f1 : 0.9084491722682678, roc_auc : 0.7534146785649245
2 : [ 20 435 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7534129692832765
2 : [ 11 247 ]  accuracy : 0.9239766081871345, recall : 0.9239766081871345, precision : 0.8641898864809082, f1 : 0.8930837732629446, roc_auc : 0.7531446540880502
2 : [ 20 300 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7530716723549488
2 : [ 14 41 ]  accuracy : 0.9383116883116883, recall : 0.9383116883116883, precision : 0.9421171361106425, f1 : 0.9084491722682678, roc_auc : 0.7530504461846658
2 : [ 20 298 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.752901023890785
2 : [ 10 219 ]  accuracy : 0.9292604501607717, recall : 0.9292604501607717, precision : 0.9342645340722284, f1 : 0.8951875669882102, roc_auc : 0.7527524378735453
2 : [ 22 218 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7523890784982935
2 : [ 20 238 ]  accuracy : 0.9424920127795527, recall : 0.9424920127795527, precision : 0.9457991813736998, f1 : 0.9145892887170002, roc_auc : 0.7523540489642184
