3 : [ 0 1 54 ]  accuracy : 0.9258064516129032, recall : 0.9258064516129032, precision : 0.9313111342351716, f1 : 0.8901388663748852, roc_auc : 0.5461293743372216
3 : [ 0 1 55 ]  accuracy : 0.9258064516129032, recall : 0.9258064516129032, precision : 0.9313111342351716, f1 : 0.8901388663748852, roc_auc : 0.5479472807150432
3 : [ 0 1 56 ]  accuracy : 0.9258064516129032, recall : 0.9258064516129032, precision : 0.9313111342351716, f1 : 0.8901388663748852, roc_auc : 0.5461293743372216
3 : [ 0 1 57 ]  accuracy : 0.9258064516129032, recall : 0.9258064516129032, precision : 0.9313111342351716, f1 : 0.8901388663748852, roc_auc : 0.5461293743372216
3 : [ 0 1 58 ]  accuracy : 0.9258064516129032, recall : 0.9258064516129032, precision : 0.9313111342351716, f1 : 0.8901388663748852, roc_auc : 0.5461293743372216
3 : [ 0 1 59 ]  accuracy : 0.9193548387096774, recall : 0.9193548387096774, precision : 0.9258584807492195, f1 : 0.8807264841420438, roc_auc : 0.6362105263157894
3 : [ 0 1 60 ]  accuracy : 0.9290322580645162, recall : 0.9290322580645162, precision : 0.9340686784599376, f1 : 0.8948538137878951, roc_auc : 0.6210542929292928
3 : [ 0 1 61 ]  accuracy : 0.9290322580645162, recall : 0.9290322580645162, precision : 0.9340686784599376, f1 : 0.8948538137878951, roc_auc : 0.6183712121212122
3 : [ 0 1 62 ]  accuracy : 0.9290322580645162, recall : 0.9290322580645162, precision : 0.9340686784599376, f1 : 0.8948538137878951, roc_auc : 0.6085858585858586
3 : [ 0 1 63 ]  accuracy : 0.9193548387096774, recall : 0.9193548387096774, precision : 0.9258584807492195, f1 : 0.8807264841420438, roc_auc : 0.600140350877193
3 : [ 0 1 64 ]  accuracy : 0.9193548387096774, recall : 0.9193548387096774, precision : 0.9258584807492195, f1 : 0.8807264841420438, roc_auc : 0.551719298245614
3 : [ 0 1 65 ]  accuracy : 0.9193548387096774, recall : 0.9193548387096774, precision : 0.9258584807492195, f1 : 0.8807264841420438, roc_auc : 0.5713684210526315
3 : [ 0 1 66 ]  accuracy : 0.9290322580645162, recall : 0.9290322580645162, precision : 0.9340686784599376, f1 : 0.8948538137878951, roc_auc : 0.6193181818181818
3 : [ 0 1 67 ]  accuracy : 0.9290322580645162, recall : 0.9290322580645162, precision : 0.9340686784599376, f1 : 0.8948538137878951, roc_auc : 0.6166351010101011
3 : [ 0 1 68 ]  accuracy : 0.9290322580645162, recall : 0.9290322580645162, precision : 0.9340686784599376, f1 : 0.8948538137878951, roc_auc : 0.6207386363636364
3 : [ 0 1 69 ]  accuracy : 0.9290322580645162, recall : 0.9290322580645162, precision : 0.9340686784599376, f1 : 0.8948538137878951, roc_auc : 0.6183712121212122
3 : [ 0 1 70 ]  accuracy : 0.9290322580645162, recall : 0.9290322580645162, precision : 0.9340686784599376, f1 : 0.8948538137878951, roc_auc : 0.6229482323232323
3 : [ 0 1 71 ]  accuracy : 0.9290322580645162, recall : 0.9290322580645162, precision : 0.9340686784599376, f1 : 0.8948538137878951, roc_auc : 0.6257891414141414
3 : [ 0 1 72 ]  accuracy : 0.9285714285714286, recall : 0.9285714285714286, precision : 0.9336734693877551, f1 : 0.8941798941798943, roc_auc : 0.8092816274634456
3 : [ 0 1 73 ]  accuracy : 0.9285714285714286, recall : 0.9285714285714286, precision : 0.9336734693877551, f1 : 0.8941798941798943, roc_auc : 0.7965670692943421
3 : [ 0 1 74 ]  accuracy : 0.9290322580645162, recall : 0.9290322580645162, precision : 0.9340686784599376, f1 : 0.8948538137878951, roc_auc : 0.6183712121212122
3 : [ 0 1 75 ]  accuracy : 0.934640522875817, recall : 0.934640522875817, precision : 0.9389123841257637, f1 : 0.9030648295354179, roc_auc : 0.6825174825174826
3 : [ 0 1 76 ]  accuracy : 0.934640522875817, recall : 0.934640522875817, precision : 0.9389123841257637, f1 : 0.9030648295354179, roc_auc : 0.6825174825174826
3 : [ 0 1 77 ]  accuracy : 0.934640522875817, recall : 0.934640522875817, precision : 0.9389123841257637, f1 : 0.9030648295354179, roc_auc : 0.6825174825174826
3 : [ 0 1 78 ]  accuracy : 0.934640522875817, recall : 0.934640522875817, precision : 0.9389123841257637, f1 : 0.9030648295354179, roc_auc : 0.6825174825174826
3 : [ 0 1 79 ]  accuracy : 0.934640522875817, recall : 0.934640522875817, precision : 0.9389123841257637, f1 : 0.9030648295354179, roc_auc : 0.6825174825174826
3 : [ 0 1 80 ]  accuracy : 0.934640522875817, recall : 0.934640522875817, precision : 0.9389123841257637, f1 : 0.9030648295354179, roc_auc : 0.6825174825174826
3 : [ 0 1 81 ]  accuracy : 0.934640522875817, recall : 0.934640522875817, precision : 0.9389123841257637, f1 : 0.9030648295354179, roc_auc : 0.6825174825174826
3 : [ 0 1 82 ]  accuracy : 0.934640522875817, recall : 0.934640522875817, precision : 0.9389123841257637, f1 : 0.9030648295354179, roc_auc : 0.6825174825174826
3 : [ 0 1 83 ]  accuracy : 0.9421221864951769, recall : 0.9421221864951769, precision : 0.945472027791276, f1 : 0.9140456974936649, roc_auc : 0.7081911262798636
3 : [ 0 1 84 ]  accuracy : 0.9320388349514563, recall : 0.9320388349514563, precision : 0.9366575549062117, f1 : 0.8992535492998975, roc_auc : 0.6608796296296297
3 : [ 0 1 86 ]  accuracy : 0.9292604501607717, recall : 0.9292604501607717, precision : 0.9342645340722284, f1 : 0.8951875669882102, roc_auc : 0.5894935514312677
3 : [ 0 1 87 ]  accuracy : 0.9292604501607717, recall : 0.9292604501607717, precision : 0.9342645340722284, f1 : 0.8951875669882102, roc_auc : 0.5894935514312677
3 : [ 0 1 88 ]  accuracy : 0.9292604501607717, recall : 0.9292604501607717, precision : 0.9342645340722284, f1 : 0.8951875669882102, roc_auc : 0.5940547341931425
